,plateifu,mangaid,objra,objdec,T,type,TType-cat,VI_morph,WHAN_Class
0,10001-1902,1-48201,134.1939234,56.786747,-4.026,EII,Huertas,S0,LSN
1,10001-6103,1-48208,134.0081231,57.39096437,-3.177,EII,Huertas,S0,QB
2,7443-12701,12-98126,230.5074624,43.53234133,-0.113,S0,Huertas,S0,QB
3,7443-6104,12-84677,232.1580689,42.44201681,0.921,Sab,Huertas,S0,QB
4,7495-3704,12-129601,204.5862843,26.7597426,-3.406,EII,Huertas,S0,QB
5,7957-1901,1-634477,255.8952838,36.4015364,-0.542,S0,Huertas,S0,LSN
6,7957-1902,1-547135,256.7756559,35.63997803,-3.349,EII,Huertas,S0,LSN
7,7964-6103,1-179135,315.474939,-0.304685068,-1.747,S0,Huertas,S0,QB
8,7972-12703,1-113265,316.4909133,9.155321093,1.774,Sab,Huertas,S0,SFBQB
9,7977-3702,1-114928,331.0809253,12.96837782,-2.122,S0,Huertas,S0,QB
10,7990-3704,1-24394,262.0749216,56.77477957,-0.959,S0,Huertas,S0,QB
11,7991-12705,1-25937,261.1156088,56.29601023,3.069,Sab,Huertas,S0,QB
12,7992-9102,1-22948,254.542084,62.41564796,1.995,Sab,Huertas,S0,SFBQB
13,8081-6102,1-38033,49.94013722,-0.077189233,1.212,Sab,Huertas,S0,QB
14,8081-6104,1-38136,49.48363311,1.04534963,-0.663,S0,Huertas,S0,QB
15,8082-6102,1-38167,49.94591684,0.58458003,-3.696,EII,Huertas,S0,QB
16,8083-3701,1-38189,50.19979282,0.185604407,2.452,Sab,Huertas,S0,QB
17,8083-3702,1-38173,49.97322565,0.391442192,-0.584,S0,Huertas,S0,PSF
18,8086-1901,1-229012,57.11265442,-0.788729667,-4.112,EII,Huertas,S0,QB
19,8086-9101,1-228997,57.24298558,-0.521120145,-1.609,S0,Huertas,S0,QB
20,8131-9102,1-377125,112.2213595,41.30781184,-1.32,S0,Huertas,S0,QB
21,8132-1902,1-377626,110.4506068,42.28630724,-3.997,EII,Huertas,S0,QB
22,8133-3701,1-377686,112.079253,43.30211844,2.1,Sab,Huertas,S0,SFBQB
23,8134-6102,1-378148,114.9245079,45.9126097,-1.792,S0,Huertas,S0,QB
24,8138-6102,1-339061,117.1443425,44.68828516,-1.765,S0,Huertas,S0,QBSFB
25,8141-3703,1-339057,117.4714538,44.87315526,-0.606,S0,Huertas,S0,LSN
26,8144-1901,1-121035,113.6784452,30.01889582,-3.388,EII,Huertas,S0,LSN
27,8146-12703,1-152719,116.6050861,30.44049222,2.742,Sab,Huertas,S0,QB
28,8146-12705,1-201561,118.0532144,28.77257956,4.622,Scd,Huertas,S0,SFBQB
29,8147-3704,1-146046,118.3239632,27.46073796,-3.997,EII,Huertas,S0,QB
30,8150-6104,1-389509,147.5390157,33.56934712,-2.039,S0,Huertas,S0,SFBQB
31,8243-3702,1-47302,130.414365,53.28107758,-0.898,S0,Huertas,S0,QB
32,8243-6103,1-47342,129.1748904,53.72723084,-2.932,S0,Huertas,S0,LSN
33,8244-3701,1-73651,132.3843944,50.87412731,-3.652,EII,Huertas,S0,QB
34,8244-3703,1-47627,131.9927583,51.6010158,0.557,Sab,Huertas,S0,QB
35,8244-6104,1-47862,133.0273865,52.93275339,-3.958,EII,Huertas,S0,LSN
36,8250-12701,1-558248,139.1931505,42.50677999,-2.005,S0,Huertas,S0,QB
37,8254-12705,1-256131,164.6264146,44.04342637,-0.303,S0,Huertas,S0,QB
38,8254-9101,1-275340,161.2617016,43.70475817,2.547,Sab,Huertas,S0,QB
39,8274-6101,1-277103,163.7347941,41.49846159,-1.112,S0,Huertas,S0,QB
40,8309-6101,1-576467,210.19032,51.728684,-0.788718581,S0,SDSS-DeepLearning,S0,SFB
41,8311-6102,1-519407,203.7386519,22.58306623,-2.865,S0,Huertas,S0,LSN
42,8312-3701,1-211006,246.9944805,39.6039607,-3.753,EII,Huertas,S0,LSN
43,8315-3701,1-322679,235.7094912,38.2238412,-0.342,S0,Huertas,S0,QB
44,8315-9102,1-236776,235.2080073,38.51345899,2.323,Sab,Huertas,S0,SFBQB
45,8319-12702,1-285052,199.0614905,47.59936439,2.657,Sab,Huertas,S0,QB
46,8319-3702,1-234004,198.7431658,48.19461729,-2.225,S0,Huertas,S0,QB
47,8323-3702,1-402833,195.1167968,34.37967217,1.342,Sab,Huertas,S0,QB
48,8326-6103,1-320664,214.8189925,48.06100457,-0.007,S0,Huertas,S0,QB
49,8331-6104,1-250969,206.2962739,42.31951338,1.847,Sab,Huertas,S0,QBSFB
50,8332-6103,1-251119,207.6574299,43.76413131,0.941,Sab,Huertas,S0,QB
51,8335-1902,1-252147,218.1676448,40.95422827,-1.624,S0,Huertas,S0,LSN
52,8335-6101,1-251788,215.2292407,40.12102739,-3.342,EII,Huertas,S0,PSF
53,8338-3701,1-491200,172.246908,22.95990585,-3.523,EII,Huertas,S0,LSN
54,8341-1901,1-259091,190.5824315,45.43786464,-0.284,S0,Huertas,S0,QB
55,8341-3703,1-283246,191.0788737,46.40713087,-2.215,S0,Huertas,S0,QB
56,8440-12704,1-217018,136.1423381,41.39782718,1.026,Sab,Huertas,S0,QB
57,8442-6103,1-409567,197.580145,32.02340506,-1.188,S0,Huertas,S0,LSN
