plateifu,mangaid,objra,objdec,VI_morph,DR,MaNGA ID,Mass,Re,Ha_morph,Notes,Arm_rot,Ba_len,Ba_PA,HA_len,HA_PA
8551-9102,1-247882,235.6693623,45.43208579,S0,16,8551-9102,0.21,4.3,13,--,3,6.6,61.8,7.3,25.6
8600-1901,1-633729,242.5852246,43.00964346,S0,16,8600-1901,0.44,3.4,1,--,3,2.6,126.7,2.4,135.8
8999-6101,1-148649,164.0004849,49.952908,S0,16,8999-6101,0.16,5.3,13,--,3,4.9,49.0,4.9,52.0
9049-3704,1-295155,247.5306506,23.92595754,S0,16,9049-3704,0.08,3.9,1,--,3,2.2,127.8,0.6,116.5
9181-9101,1-71763,118.9382788,37.82156342,S0,16,9181-9101,0.31,4.3,1,--,2,1.7,121.8,1.7,113.9
10001-9101,1-48189,133.8780968,57.56454487,Spiral,16,10001-9101,0.38,4.9,12,--,1,2.9,21.1,0.8,130.4
8078-12705,1-36897,42.27915,-0.90221,Spiral,16,8078-12705,0.27,11.9,1,--,2,1.0,110.2,1.6,103.2
8081-6103,1-37936,48.06547714,0.240451563,Spiral,16,8081-6103,0.31,3.8,12,--,3,7.0,90.8,7.0,97.0
8083-12703,1-38168,49.92933858,0.565477826,Spiral,16,8083-12703,0.91,9.5,12,--,3,1.0,120.3,2.3,138.7
8084-6101,1-38299,51.69424872,-0.648169731,Spiral,16,8084-6101,0.62,6.7,1,--,3,3.2,74.2,3.6,65.5
8085-12701,1-38368,51.40994103,-1.030120917,Spiral,16,8085-12701,0.5,10.9,1,--,2,1.5,34.0,1.2,31.0
8085-6104,1-38470,51.70891381,0.198588834,Spiral,16,8085-6104,0.34,5.5,1,--,3,4.9,62.2,2.8,63.2
8134-12701,1-377978,112.6986802,46.01011573,Spiral,16,8134-12701,0.2,10.2,13,--,3,3.5,49.8,2.2,5.4
8138-12701,1-338829,115.6334404,44.23381894,Spiral,16,8138-12701,0.56,7.0,1,--,1,0.5,--,1.8,72.2
8138-6104,1-339258,117.2914197,46.46188305,Spiral,16,8138-6104,0.2,5.0,1,--,3,3.5,86.9,4.7,87.4
8155-12704,1-38713,53.17033611,0.245738937,Spiral,16,8155-12704,0.28,8.4,1,--,1,1.0,16.2,1.0,28.1
8241-12705,1-605282,127.6320083,18.2061099,Spiral,16,8241-12705,0.83,8.9,1,tidal interacti,1,2.0,97.8,1.4,107.0
8241-9101,1-460840,126.8980192,17.91850881,Spiral,16,8241-9101,2.73,4.4,125,--,1,12.4,106.0,7.7,19.2
8247-3701,1-585433,136.67142,41.365107,Spiral,16,8247-3701,1.0,5.0,14,--,--,--,--,--,--
8250-12703,1-137912,139.6477435,44.59673701,Spiral,16,8250-12703,0.02,15.0,1,--,3,0.3,72.2,0.9,51.1
8250-6102,1-217210,138.9026162,42.15722314,Spiral,16,8250-6102,0.35,6.8,12,--,1,1.3,60.4,1.8,114.3
