specObjID,sigma_balmer,sigma_balmer_err,sigma_forbidden,sigma_forbidden_err,v_off_balmer,v_off_balmer_err,v_off_forbidden,v_off_forbidden_err,oii_3726_cont,oii_3726_cont_err,oii_3726_reqw,oii_3726_reqw_err,oii_3726_eqw,oii_3726_eqw_err,oii_3726_flux,oii_3726_flux_err,oii_3726_inst_res,oii_3726_chisq,oii_3729_cont,oii_3729_cont_err,oii_3729_reqw,oii_3729_reqw_err,oii_3729_eqw,oii_3729_eqw_err,oii_3729_flux,oii_3729_flux_err,oii_3729_inst_res,oii_3729_chisq,neiii_3869_cont,neiii_3869_cont_err,neiii_3869_reqw,neiii_3869_reqw_err,neiii_3869_eqw,neiii_3869_eqw_err,neiii_3869_flux,neiii_3869_flux_err,neiii_3869_inst_res,neiii_3869_chisq,h_delta_cont,h_delta_cont_err,h_delta_reqw,h_delta_reqw_err,h_delta_eqw,h_delta_eqw_err,h_delta_flux,h_delta_flux_err,h_delta_inst_res,h_delta_chisq,h_gamma_cont,h_gamma_cont_err,h_gamma_reqw,h_gamma_reqw_err,h_gamma_eqw,h_gamma_eqw_err,h_gamma_flux,h_gamma_flux_err,h_gamma_inst_res,h_gamma_chisq,oiii_4363_cont,oiii_4363_cont_err,oiii_4363_reqw,oiii_4363_reqw_err,oiii_4363_eqw,oiii_4363_eqw_err,oiii_4363_flux,oiii_4363_flux_err,oiii_4363_inst_res,oiii_4363_chisq,h_beta_cont,h_beta_cont_err,h_beta_reqw,h_beta_reqw_err,h_beta_eqw,h_beta_eqw_err,h_beta_flux,h_beta_flux_err,h_beta_inst_res,h_beta_chisq,oiii_4959_cont,oiii_4959_cont_err,oiii_4959_reqw,oiii_4959_reqw_err,oiii_4959_eqw,oiii_4959_eqw_err,oiii_4959_flux,oiii_4959_flux_err,oiii_4959_inst_res,oiii_4959_chisq,oiii_5007_cont,oiii_5007_cont_err,oiii_5007_reqw,oiii_5007_reqw_err,oiii_5007_eqw,oiii_5007_eqw_err,oiii_5007_flux,oiii_5007_flux_err,oiii_5007_inst_res,oiii_5007_chisq,hei_5876_cont,hei_5876_cont_err,hei_5876_reqw,hei_5876_reqw_err,hei_5876_eqw,hei_5876_eqw_err,hei_5876_flux,hei_5876_flux_err,hei_5876_inst_res,hei_5876_chisq,oi_6300_cont,oi_6300_cont_err,oi_6300_reqw,oi_6300_reqw_err,oi_6300_eqw,oi_6300_eqw_err,oi_6300_flux,oi_6300_flux_err,oi_6300_inst_res,oi_6300_chisq,nii_6548_cont,nii_6548_cont_err,nii_6548_reqw,nii_6548_reqw_err,nii_6548_eqw,nii_6548_eqw_err,nii_6548_flux,nii_6548_flux_err,nii_6548_inst_res,nii_6548_chisq,h_alpha_cont,h_alpha_cont_err,h_alpha_reqw,h_alpha_reqw_err,h_alpha_eqw,h_alpha_eqw_err,h_alpha_flux,h_alpha_flux_err,h_alpha_inst_res,h_alpha_chisq,nii_6584_cont,nii_6584_cont_err,nii_6584_reqw,nii_6584_reqw_err,nii_6584_eqw,nii_6584_eqw_err,nii_6584_flux,nii_6584_flux_err,nii_6584_inst_res,nii_6584_chisq,sii_6717_cont,sii_6717_cont_err,sii_6717_reqw,sii_6717_reqw_err,sii_6717_eqw,sii_6717_eqw_err,sii_6717_flux,sii_6717_flux_err,sii_6717_inst_res,sii_6717_chisq,sii_6731_cont,sii_6731_cont_err,sii_6731_reqw,sii_6731_reqw_err,sii_6731_eqw,sii_6731_eqw_err,sii_6731_flux,sii_6731_flux_err,sii_6731_inst_res,sii_6731_chisq,ariii7135_cont,ariii7135_cont_err,ariii7135_reqw,ariii7135_reqw_err,ariii7135_eqw,ariii7135_eqw_err,ariii7135_flux,ariii7135_flux_err,ariii7135_inst_res,ariii7135_chisq,oii_sigma,oii_flux,oii_flux_err,oii_voff,oii_chi2,oiii_sigma,oiii_flux,oiii_flux_err,oiii_voff,oiii_chi2,spectofiber,name,Column1,ra,dec,plate,mjd,fiberid
842329848188790784,288.6247,43.08459,177.845,14.64737,59.20667,39.52655,15.14113,15.72856,29.80305,3.595937,-2.399644,0.5327376,-4.446731,0.5327376,39.10642,17.63796,71.59895,1.262373,29.76441,3.600834,-2.399644,0.5327376,-4.446731,0.5327376,99.51125,18.01336,71.5458,1.150877,28.02537,2.84118,0.08376467,0.434529,-0.6471967,0.434529,21.74278,8.563478,68.77848,0.5735209,52.63051,2.244687,-0.0108894,0.2352908,-0.6011545,0.2352908,28.50993,10.73043,64.69732,0.3603655,63.77676,2.937398,-1.294595,0.2066394,-1.040105,0.2066394,47.5421,11.66094,61.16552,1.137785,65.53857,3.089828,-0.9281985,0.2380508,0.5987894,0.2380508,-9.177258,9.499196,60.87168,1.134044,88.19139,2.419364,1.474047,0.156433,-0.3635983,0.156433,41.83265,12.96199,55.54055,0.4845928,90.50374,2.851306,-0.5470421,0.1637893,0.0009516872,0.1637893,21.56495,10.98816,54.77288,0.9033704,88.31512,3.263,0.3798062,0.1622332,-0.9053604,0.1622332,63.88203,11.06611,54.4227,1.690909,106.1397,2.564472,0.5114142,0.1425421,0.2350574,0.1425421,-27.25469,15.52537,63.61609,1.059838,103.1985,2.2703,-0.2046134,0.151573,-0.09144834,0.151573,10.24787,13.0971,61.90963,0.396714,108.2751,5.578514,-0.9032246,0.1520373,-0.7425617,0.1520373,71.81938,5.985331,59.94742,0.1916214,108.0478,5.50709,0.07943644,0.1502292,-1.340667,0.1502292,154.0664,21.3448,59.83862,0.2669222,107.5777,4.075194,-2.034354,0.166711,-2.040298,0.166711,216.6238,18.05312,59.66876,0.4556889,105.5223,2.686361,-0.4738427,0.1531346,-0.6337448,0.1531346,62.61014,14.19058,58.59824,0.09466723,105.4009,2.492708,-0.5282699,0.1535233,-0.4776691,0.1535233,49.06318,14.32707,58.48622,0.1416234,99.35722,1.575575,0.2207478,0.1125743,0.01555621,0.1125743,-10.19935,13.95086,55.27552,0.3734173,136.4737,131.7966,62.92869,85.41609,1.234777,220.8059,73.12283,14.21484,25.3302,1.478307,0.7719558,1-119212,842329848188790784,356.6923,16.04308,748,52233,570
1784705058789681152,66.0763,0.8773971,72.20332,1.395761,11.32574,0.7522084,6.528615,1.181889,18.76331,3.396656,0,-1,0,-1,0,-0.7405516,0,0,18.76331,3.296937,0,-1,0,-1,0,-0.7405516,0,0,39.08644,2.559971,-1.515073,0.2442719,-0.5085664,0.2442719,6.927561,4.651465,69.68754,1.15859,46.97574,2.0489,1.675887,0.1704558,-1.708129,0.1704558,87.30874,4.176711,65.87196,1.010428,47.40723,1.899361,-0.9050912,0.175952,-3.274307,0.175952,150.5748,4.680033,62.54442,1.48695,48.54862,2.060663,-1.200739,0.2001948,-0.4371273,0.2001948,8.050591,4.220778,62.25335,1.390561,53.91017,1.466434,-3.211889,0.16436,-6.337692,0.16436,353.4336,6.448607,56.9113,2.926146,54.6083,1.552441,-0.8160949,0.1463528,-0.4708631,0.1463528,33.98097,4.304752,56.12903,0.9191126,54.20255,1.481349,-1.31028,0.1499867,-2.000255,0.1499867,110.8084,4.97737,55.74743,1.607489,57.82098,1.613124,-0.7993815,0.1228256,-0.7925301,0.1228256,41.79065,4.200341,60.51519,1.099822,55.01701,1.348802,-0.5979748,0.1308439,-0.5420876,0.1308439,30.13955,4.411041,62.9861,0.902747,56.01433,1.474983,-3.513403,0.1439546,-3.465666,0.1439546,197.5318,2.780863,60.45317,0.711992,56.03796,1.41743,-24.72123,0.2774909,-26.9485,0.2774909,1495.863,14.59699,60.29408,15.47997,55.96278,1.552807,-10.55759,0.1887726,-10.6539,0.1887726,595.8014,8.387717,60.05842,3.466147,55.57894,1.391789,-5.166788,0.1569554,-5.329939,0.1569554,293.4198,6.885004,58.57685,1.97227,55.51313,1.205846,-3.877331,0.1561003,-3.900041,0.1561003,219.7554,6.581223,58.42073,2.855139,52.44753,1.066733,0.0667491,0.1086135,-0.1360845,0.1086135,8.491916,5.345106,53.93851,0.3920702,110.282,0,1.047298,18.90341,0,69.94028,110.4212,5.567361,-8.319555,0.4617508,0.7405516,1-298715,1784705058789681152,125.3617,24.45309,1585,52962,559
484217805537830912,43.53162,3.480962,37.14263,7.851255,5.710022,2.200278,2.644507,4.282197,0,0,0,-1,0,-1,0,-0.7665192,0,0,29.07187,4.081469,0,-1,0,-1,0,-0.7665192,0,0,9.219064,2.542964,-2.289725,1.055692,-0.9136403,1.055692,3.491238,4.425754,85.78109,0.6195039,10.96338,1.934547,2.450158,0.6835135,-0.5603009,0.6835135,6.425594,3.705864,80.28085,2.096946,10.95522,1.74426,0.5928594,0.6036437,-1.348087,0.6036437,16.86488,3.111837,75.272,0.597156,11.38427,1.715722,-1.925147,0.685295,-0.9826387,0.685295,-1.728951,3.058804,74.84173,1.084168,11.93554,1.20636,0.9209915,0.439631,-1.925564,0.439631,28.99681,2.708414,66.46532,0.3862252,11.99732,1.188205,-1.110864,0.4429434,-0.5601867,0.4429434,4.991128,2.465676,65.11844,0.5088992,11.95953,1.110865,-0.6854873,0.4407328,-1.341718,0.4407328,12.7823,2.633511,64.48354,0.1265293,12.25474,0.9580942,-0.2062217,0.3819836,-0.07163455,0.3819836,2.195375,2.470476,63.78572,0.902513,11.56926,0.5890539,-0.2379128,0.2950033,-0.2695447,0.2950033,4.515084,1.822517,62.20663,0.51622,11.41948,0.4934967,-1.040108,0.2909741,-0.8429401,0.2909741,9.642113,0.6596648,59.46032,0.7901868,11.4023,0.5021541,-6.807208,0.3132238,-8.854762,0.3132238,102.7122,2.727006,59.30489,2.143898,11.3933,0.5199273,-2.66284,0.2877192,-2.634649,0.2877192,29.08284,1.989699,59.08913,0.4546111,11.3564,0.5715641,-2.136069,0.3237495,-2.290876,0.3237495,25.48173,2.274752,57.79359,0.2388618,11.35454,0.5830041,-0.9849571,0.315387,-1.047639,0.315387,15.87515,2.293945,57.66439,1.057941,10.60595,0.5712088,0.2933375,0.2409279,0.02108884,0.2409279,-0.8168906,1.941452,54.35825,0.6692756,39.53303,0,1.084022,5.178232,0,36.71967,12.77466,3.051373,4.835705,0.1415291,0.7665192,1-42704,484217805537830912,27.65368,13.11023,430,51877,294
2524358095648352256,126.4211,38.02233,500,0,-51.92151,33.60266,215.1151,85.80358,10.41615,1.822012,0,-1,0,-1,-88716.34,1443708,0,0,10.41615,1.859918,0,-1,0,-1,22416.45,291819.9,0,0,19.15452,1.927546,0.5036645,0.3811861,0.2832734,0.3811861,-6.030992,7.79241,71.18827,0.9066492,36.23491,1.70812,0.7043484,0.201969,0.06921253,0.201969,0.5173625,4.197152,67.7814,1.997572,41.50496,1.660773,-0.7782294,0.1797444,-0.1353022,0.1797444,8.472246,4.285182,64.68536,0.7177988,43.08879,1.606351,-0.5633333,0.2017921,0.6365224,0.2017921,-25.19267,8.50693,64.41999,0.6618606,55.65495,1.792531,1.614635,0.1396752,-0.4509156,0.1396752,17.88619,5.139643,59.28405,0.659674,55.04332,1.698438,-0.1602628,0.1428321,0.3470156,0.1428321,-27.31485,9.49032,58.46638,0.8046713,53.41438,1.694655,0.6190907,0.1414018,-0.4089082,0.1414018,33.10323,9.206181,58.08217,0.8209283,58.77647,1.400536,0.07660133,0.1192671,0.1222407,0.1192671,-3.865757,4.989093,65.50207,0.5310952,55.84145,1.072687,0.1187819,0.1277993,0.1631754,0.1277993,-10.59706,9.780751,66.24017,0.525652,57.40842,1.095084,-0.4047956,0.1292131,-0.2056182,0.1292131,6.245525,3.22119,62.25643,0.6364293,57.34604,1.065025,1.299217,0.1202156,-0.4189776,0.1202156,20.02182,5.702168,62.02287,0.3694306,57.14693,1.106913,-0.1631041,0.1273377,-0.2055754,0.1273377,18.83795,9.715842,61.6972,0.5521972,55.33671,0.9398143,0.2143345,0.1291574,-0.03957399,0.1291574,5.201916,13.65549,59.71343,0.5890611,55.24059,0.9387237,0.149341,0.1380322,0.1121404,0.1380322,-13.14892,14.22647,59.51272,0.5326793,52.05227,1.295892,0.384781,0.1143456,0.3003256,0.1143456,-61.62064,11.14189,54.33478,0.7476788,113.9385,0,1.026211,-57.04817,0,410.879,30.73651,9.57101,274.8649,0.9096038,0.7256404,1-623756,2524358095648352256,195.2885,27.81833,2242,54153,329
1425427260663425024,209.1359,31.42093,204.0856,17.41689,33.32345,29.74154,31.48424,17.18972,19.14514,3.349513,-1.37149,0.5897369,-2.53634,0.5897369,56.46859,13.72572,84.53594,0.9521402,19.18035,3.348299,-1.37149,0.5897369,-2.53634,0.5897369,-3.906221,13.4255,84.47083,0.8665276,18.5221,2.217643,0.381467,0.513168,-0.6037047,0.513168,11.75143,6.918649,81.03523,1.137647,36.50602,1.740838,0.1736002,0.2251531,-0.06534728,0.2251531,1.829676,5.958395,75.75953,0.5475787,44.54613,1.838028,-0.9281719,0.1950561,-0.4879162,0.1950561,18.76183,6.565688,70.92899,0.8890715,45.56575,1.823972,-1.177522,0.2201574,0.340511,0.2201574,-8.656209,6.531967,70.5126,0.9834681,61.90069,2.074532,1.21051,0.1373028,-0.7336259,0.1373028,40.54081,7.214366,62.35335,0.9869408,62.14505,1.708259,-0.6636031,0.1415524,-0.0102276,0.1415524,10.21028,6.921192,61.02971,0.7167291,60.18304,2.083653,0.2271429,0.1417318,-0.9435031,0.1417318,55.82081,7.168501,60.40435,0.4118227,71.35114,1.288311,0.5427467,0.1219584,0.3981131,0.1219584,-24.58853,7.860579,66.05105,0.5125545,68.91824,1.172188,-0.09225532,0.1229487,-0.04408367,0.1229487,6.279032,7.486846,61.22,0.8050433,71.19479,2.865938,-0.616589,0.125597,-0.3519304,0.125597,38.57927,3.134385,58.72293,0.7812113,71.11337,2.909144,0.5275652,0.1222929,-0.8163573,0.1222929,58.46178,9.12553,58.579,0.6843781,70.92736,2.964484,-1.640922,0.1324739,-1.626406,0.1324739,116.364,9.454019,58.3786,0.4844631,69.38941,1.200668,-0.169915,0.1236296,-0.4034894,0.1236296,25.67816,7.961605,57.16721,0.4142784,69.23541,1.205064,-0.008276268,0.1229546,-0.007034574,0.1229546,1.782182,7.921401,57.0454,0.4206001,64.83691,1.07877,0.3626394,0.08810335,0.1375852,0.08810335,-14.65768,7.689347,53.93066,0.939152,136.6719,50.76516,58.04673,-66.98618,0.9860167,218.8972,57.84132,8.522233,41.8243,0.6755144,0.7394679,1-230042,1425427260663425024,124.1057,25.99136,1266,52709,138
835449654681298944,137.0752,1.358608,145.2002,1.64263,3.359219,1.442207,-0.3404773,1.735392,34.40924,6.567029,-15.6437,0.6672961,-15.03002,0.6672961,304.055,20.95691,86.01396,0.4671588,34.57741,6.487891,-15.6437,0.6672961,-15.03002,0.6672961,240.2173,20.2728,85.97208,0.8810774,41.63586,4.049993,-1.126736,0.3678541,-0.3397088,0.3678541,33.93401,9.588361,83.65199,0.9099997,52.71869,3.32378,1.464512,0.2436249,-0.9399167,0.2436249,61.60721,7.951824,79.72215,0.8139718,52.95666,2.851693,-1.307275,0.2311432,-2.823564,0.2311432,147.2002,7.831066,75.69003,0.9678744,54.61504,2.729193,-0.6175273,0.2580769,0.2792574,0.2580769,9.66018,7.937334,75.32053,1.404303,63.04239,2.052758,-3.354249,0.1835,-6.067521,0.1835,402.5186,9.156163,67.20444,2.52011,63.81504,2.485676,-1.541888,0.171513,-1.10418,0.171513,73.12964,7.659204,65.6902,0.7396757,63.04078,2.641037,-2.828703,0.1771773,-3.400126,0.1771773,205.4508,8.54162,64.94965,1.632083,70.97637,2.853729,-0.3374813,0.128051,-0.4733556,0.128051,43.69997,6.765549,65.15199,0.3665332,67.55692,1.803145,-1.447052,0.1399009,-1.317204,0.1399009,93.43556,7.599261,65.48509,0.9230665,70.57332,14.65056,-5.616743,0.1572877,-5.630725,0.1572877,399.9144,4.559355,62.1945,3.937411,70.66557,14.69285,-26.19925,0.2716083,-28.31516,0.2716083,1956.867,18.87364,62.00558,15.86721,70.6891,15.77402,-16.91056,0.219843,-17.08845,0.219843,1206.234,13.75205,61.74263,5.77928,69.65942,4.250573,-6.232817,0.1662034,-6.380344,0.1662034,444.0073,10.43676,60.14972,0.8033653,69.54211,4.275159,-5.150874,0.1603792,-5.152362,0.1603792,364.0484,9.985633,59.98902,1.161187,66.61691,1.19575,0.05303482,0.1045755,-0.07979957,0.1045755,6.209901,8.095219,55.77233,0.1346515,129.9064,532.4313,120.4697,-56.19045,0.2281128,130.6835,198.9478,9.186089,-15.88607,1.318996,0.7949018,1-117014,835449654681298944,345.9294,13.92654,742,52263,116
2522183805867943936,1,0,54.93797,29.01875,7.101625,13.20312,-19.95589,19.73518,0,0,0,-1,0,-1,0,-0.7260304,0,0,0,0,0,-1,0,-1,0,-0.7260304,0,0,26.66494,1.783792,0.4659499,0.2456036,-0.06693026,0.2456036,6.520481,3.147859,71.84126,0.7534998,44.35665,1.525113,0.9926388,0.1429541,-0.1190681,0.1429541,3.025542,2.410098,68.30389,0.573317,50.18178,1.538525,-0.1365261,0.1323538,-0.01269403,0.1323538,-0.678168,2.334393,64.9521,0.3471853,51.98107,1.550288,-0.6642006,0.1543616,0.2981326,0.1543616,-1.545428,3.355383,64.64424,1.307491,65.30078,1.31758,2.335125,0.1025545,0.1471533,0.1025545,6.51612,2.513918,58.83975,0.9161121,64.92992,1.436859,-0.2469054,0.1102218,0.1841031,0.1102218,4.199867,3.35931,57.85646,2.003295,63.63814,1.406541,0.7078674,0.1095728,-0.3726836,0.1095728,12.38032,3.684889,57.39994,0.2226247,71.43403,1.169091,0.01150806,0.09048659,0.06045965,0.09048659,-0.7507178,2.977849,60.44849,0.1844687,68.49615,0.889026,-0.1358896,0.1023367,-0.08692233,0.1023367,-1.778476,3.848002,63.49062,0.3179809,70.79429,0.9640849,-0.3144982,0.1038547,-0.2764671,0.1038547,3.671161,1.3607,60.97523,0.9094481,70.78171,0.8954493,1.829102,0.09435116,-0.1184079,0.09435116,17.77411,2.951911,60.81489,1.643981,70.59643,0.8805268,0.01538542,0.101482,-0.1917995,0.101482,11.07307,4.104181,60.62706,0.2168484,68.09572,0.7178906,0.1962699,0.1022618,0.01728278,0.1022618,2.296184,3.88582,59.32684,0.434172,67.98138,0.729133,0.01539165,0.1045473,0.0589279,0.1045473,-1.797732,4.108793,59.17297,0.1343308,63.67293,1.166199,0.2426039,0.0817964,0.1487959,0.0817964,-9.248574,4.432146,55.48184,0.2753049,1,0,1.026762,7.205871,0,23.97195,10.59193,3.462321,-48.88146,0.2616058,0.7260304,1-591260,2522183805867943936,195.0688,27.96752,2240,53823,611
644163768942618624,1,0,55.7762,28.51105,11.58251,17.14798,-58.3796,18.43249,48.67482,3.391385,0,-1,0,-1,0,-0.773605,0,0,48.67482,3.166678,0,-1,0,-1,0,-0.773605,0,0,39.68126,2.421696,-1.915827,0.2489379,-1.286129,0.2489379,25.9695,5.282424,71.41132,0.9358448,51.42125,1.50741,2.599545,0.1471616,0.1078497,0.1471616,-0.5103446,2.744465,67.15691,0.57261,51.52154,1.365801,1.676419,0.139624,-0.002608577,0.139624,1.617446,2.513817,63.366,0.7914703,52.97935,1.606464,-0.4410861,0.1719928,-0.02203313,0.1719928,2.815354,3.684859,63.03111,0.6654856,57.80367,1.234555,3.129765,0.1185416,0.341307,0.1185416,3.753786,2.367788,57.024,5.009129,57.13195,1.264249,-0.08927529,0.1246354,0.2001131,0.1246354,1.53646,3.26506,56.10558,1.842213,56.12784,1.142383,0.604875,0.1230862,-0.1399536,0.1230862,7.016602,3.419212,55.67908,0.7060238,55.56465,1.129527,-0.00975709,0.1093847,0.08257161,0.1093847,-1.835059,2.832227,60.39226,0.2560536,51.89336,0.7221232,0.04662519,0.1145381,0.004362611,0.1145381,-0.5744674,3.289573,63.02992,0.3813942,51.47546,1.05425,-0.004972211,0.1145313,0.04993859,0.1145313,2.664846,1.096059,61.0781,0.4127652,51.48446,0.9412292,2.181043,0.1046992,0.03775685,0.1046992,11.05249,2.327214,60.97142,4.306095,51.37229,1.034596,0.08459125,0.1129211,-0.09971739,0.1129211,8.037791,3.305963,60.80516,0.3545764,50.21331,0.7511762,0.1131992,0.1147347,-0.07259614,0.1147347,4.119071,3.312929,59.76316,0.5652409,50.07533,0.7831667,0.110638,0.1191109,0.08285525,0.1191109,-0.2832479,3.297408,59.65462,0.7846956,46.599,1.05033,0.1610112,0.08688201,-0.0339673,0.08688201,1.271651,3.309341,56.55966,2.025888,1.210615,0,1.094043,14.022,0,1,7.426618,2.777357,-12.35154,0.4352331,0.773605,1-78688,644163768942618624,150.264,4.619273,572,52289,542
2522048016181913600,49.23003,1.881438,61.42524,3.32552,-8.390224,1.264027,1.004252,2.444688,11.11891,2.053856,0,-1,0,-1,0,-0.7652919,0,0,11.11891,2.010603,0,-1,0,-1,0,-0.7652919,0,0,13.88456,1.639714,-0.3154676,0.5183319,0.4991712,0.5183319,-4.627544,3.264304,79.42724,1.167889,17.34406,1.425593,3.042701,0.2901424,0.4909629,0.2901424,12.23256,2.434943,75.87287,0.1313402,17.37573,0.9320096,0.6243749,0.2654482,-1.225889,0.2654482,22.04735,2.180798,72.48941,1.513299,17.76455,0.8799874,-0.9615892,0.3069442,-0.2168253,0.3069442,1.19938,2.319636,72.20081,0.5380054,20.1678,0.8525577,0.02305498,0.2010872,-2.783369,0.2010872,58.20034,2.228599,66.23305,0.9288096,20.23389,0.8249862,-0.5935839,0.1973521,-0.2878459,0.1973521,6.892551,2.060943,65.21301,0.128938,19.92673,0.7860915,-0.1261255,0.1966205,-0.7307608,0.1966205,16.17468,2.128546,64.76999,1.184556,21.76158,0.8443703,-0.02039151,0.1718742,0.02246973,0.1718742,5.535693,2.05139,66.93698,1.881185,21.01434,0.5713931,-0.3722642,0.151433,-0.3219872,0.151433,6.807174,1.900714,66.4801,1.055728,21.21165,0.653181,-1.839598,0.1574573,-1.686695,0.1574573,32.34792,0.8558989,63.33834,0.7549601,21.2249,0.6062352,-9.154997,0.1938137,-11.19378,0.1938137,232.6438,3.438324,63.11273,0.7718517,21.21355,0.6139525,-4.693186,0.1675676,-4.728288,0.1675676,97.56878,2.581586,62.89979,0.7316867,21.07283,0.6334543,-1.601045,0.1600737,-1.847849,0.1600737,34.51173,2.241579,61.34647,0.9965671,21.01138,0.7434153,-1.201029,0.1546144,-1.285215,0.1546144,28.22801,2.134737,61.1985,0.4339353,19.86019,0.4360619,0.1625179,0.1175102,-0.05282578,0.1175102,0.149652,2.01511,56.97636,0.5665321,49.32862,0,1.082286,-8.37342,0,43.5648,15.64781,2.346512,-24.86246,0.8609321,0.7652919,1-456339,2522048016181913600,194.4765,27.49064,2240,53823,117
2523206632364599296,55.27704,0.5500252,56.23281,0.7909142,-0.4053403,0.4454821,1.281289,0.6066498,41.22258,3.438583,0,-1,0,-1,0,-0.8310704,0,0,41.22258,3.285257,0,-1,0,-1,0,-0.8310704,0,0,58.68518,4.225983,-1.951902,0.2199678,-0.7583899,0.2199678,29.93546,5.867013,78.92457,1.360848,60.57008,2.24651,1.708672,0.1609736,-2.522198,0.1609736,164.4729,5.450016,76.10812,1.911965,54.84317,1.903751,-1.743009,0.1731239,-5.65244,0.1731239,320.9165,6.218744,73.36666,1.474737,54.82139,1.900784,-0.7148701,0.1985665,-0.2192729,0.1985665,8.41006,4.487302,73.12259,0.2403916,48.34553,1.443318,-10.72656,0.2150917,-14.90324,0.2150917,722.0455,8.78035,68.04018,1.201546,48.77689,1.76959,-3.434203,0.1652028,-3.133264,0.1652028,168.6628,5.156752,67.15102,1.218219,48.44117,1.404233,-11.20798,0.2073909,-11.61414,0.2073909,543.2714,8.077211,66.72289,4.153561,40.49634,0.9879024,-2.151916,0.1525604,-2.233451,0.1525604,90.56548,3.747589,65.99323,1.11406,36.85596,0.8858484,-1.751362,0.151505,-1.642493,0.151505,60.81604,3.505575,63.79831,1.421331,35.61613,2.18695,-5.59764,0.1755082,-5.71018,0.1755082,210.1922,2.337729,60.59811,0.296481,35.55116,0.9107658,-75.81858,0.6673762,-78.66871,0.6673762,2783.378,22.46026,60.41668,1.878209,35.48097,0.8527193,-17.75709,0.2516061,-17.97643,0.2516061,633.9882,7.051124,60.16446,0.7292685,35.17101,1.004984,-14.27614,0.2332553,-14.4004,0.2332553,505.4292,7.225702,58.64639,1.911064,35.06307,0.888274,-10.6569,0.2049668,-10.70382,0.2049668,373.2656,6.03469,58.49404,1.099754,31.98885,0.9757856,-1.324248,0.1245944,-1.446742,0.1245944,46.13912,3.424465,54.54927,0.4141274,99.74498,0,1.175311,-0.07816491,0,55.49815,544.071,8.187832,-4.022209,2.1668,0.8310704,1-456772,2523206632364599296,194.0254,27.67811,2241,54169,236
