plateifu,mangaid,objra,objdec,VI_morph,DR
10001-1902,1-48201,134.1939234,56.786747,S0,16
10001-6103,1-48208,134.0081231,57.39096437,S0,16
7443-12701,12-98126,230.5074624,43.53234133,S0,16
7443-6104,12-84677,232.1580689,42.44201681,S0,16
7495-3704,12-129601,204.5862843,26.7597426,S0,16
7957-1901,1-634477,255.8952838,36.4015364,S0,16
7957-1902,1-547135,256.7756559,35.63997803,S0,16
7964-6103,1-179135,315.474939,-0.304685068,S0,16
7972-12703,1-113265,316.4909133,9.155321093,S0,16
7977-3702,1-114928,331.0809253,12.96837782,S0,16
7990-3704,1-24394,262.0749216,56.77477957,S0,16
7991-12705,1-25937,261.1156088,56.29601023,S0,16
7992-9102,1-22948,254.542084,62.41564796,S0,16
8081-6102,1-38033,49.94013722,-0.077189233,S0,16
8081-6104,1-38136,49.48363311,1.04534963,S0,16
8082-6102,1-38167,49.94591684,0.58458003,S0,16
8083-3701,1-38189,50.19979282,0.185604407,S0,16
8083-3702,1-38173,49.97322565,0.391442192,S0,16
8086-1901,1-229012,57.11265442,-0.788729667,S0,16
8086-9101,1-228997,57.24298558,-0.521120145,S0,16
8131-9102,1-377125,112.2213595,41.30781184,S0,16
8132-1902,1-377626,110.4506068,42.28630724,S0,16
8133-3701,1-377686,112.079253,43.30211844,S0,16
8134-6102,1-378148,114.9245079,45.9126097,S0,16
8138-6102,1-339061,117.1443425,44.68828516,S0,16
8141-3703,1-339057,117.4714538,44.87315526,S0,16
8144-1901,1-121035,113.6784452,30.01889582,S0,16
8146-12703,1-152719,116.6050861,30.44049222,S0,16
8146-12705,1-201561,118.0532144,28.77257956,S0,16
8147-3704,1-146046,118.3239632,27.46073796,S0,16
8150-6104,1-389509,147.5390157,33.56934712,S0,16
8243-3702,1-47302,130.414365,53.28107758,S0,16
8243-6103,1-47342,129.1748904,53.72723084,S0,16
8244-3701,1-73651,132.3843944,50.87412731,S0,16
8244-3703,1-47627,131.9927583,51.6010158,S0,16
8244-6104,1-47862,133.0273865,52.93275339,S0,16
8250-12701,1-558248,139.1931505,42.50677999,S0,16
8254-12705,1-256131,164.6264146,44.04342637,S0,16
8254-9101,1-275340,161.2617016,43.70475817,S0,16
8274-6101,1-277103,163.7347941,41.49846159,S0,16
8309-6101,1-576467,210.19032,51.728684,S0,16
8311-6102,1-519407,203.7386519,22.58306623,S0,16
8312-3701,1-211006,246.9944805,39.6039607,S0,16
8315-3701,1-322679,235.7094912,38.2238412,S0,16
8315-9102,1-236776,235.2080073,38.51345899,S0,16
8319-12702,1-285052,199.0614905,47.59936439,S0,16
8319-3702,1-234004,198.7431658,48.19461729,S0,16
8323-3702,1-402833,195.1167968,34.37967217,S0,16
8326-6103,1-320664,214.8189925,48.06100457,S0,16
8331-6104,1-250969,206.2962739,42.31951338,S0,16
8332-6103,1-251119,207.6574299,43.76413131,S0,16
8335-1902,1-252147,218.1676448,40.95422827,S0,16
8335-6101,1-251788,215.2292407,40.12102739,S0,16
8338-3701,1-491200,172.246908,22.95990585,S0,16
8341-1901,1-259091,190.5824315,45.43786464,S0,16
8341-3703,1-283246,191.0788737,46.40713087,S0,16
8440-12704,1-217018,136.1423381,41.39782718,S0,16
8442-6103,1-409567,197.580145,32.02340506,S0,16
8443-3702,1-423101,207.0670743,25.73348698,S0,16
8444-6103,1-625602,200.4415752,33.18280444,S0,16
8444-6104,1-420732,203.2463705,32.32044657,S0,16
8447-1902,1-260744,208.0636134,38.93507976,S0,16
8449-3702,1-489766,169.4911967,22.50297351,S0,16
8450-6103,1-489649,171.9548268,21.38610294,S0,16
8453-3704,1-167582,154.4808329,46.60328571,S0,16
8454-12705,1-586585,154.85845,44.404681,S0,16
8462-1901,1-301331,145.8140399,36.231443,S0,16
8481-6102,1-91580,239.554209,54.61556205,S0,16
8482-6104,1-542370,244.5540233,49.86842363,S0,16
8483-12703,1-542318,245.2483138,49.00177722,S0,16
8483-3701,1-93375,245.4543652,47.05211803,S0,16
8484-3702,1-94027,247.7308648,45.88004946,S0,16
8486-6102,1-134020,238.0468936,48.04391629,S0,16
8550-3704,1-211311,248.4263858,39.18511968,S0,16
8551-9102,1-247882,235.6693623,45.43208579,S0,16
8553-12705,1-90901,235.4638824,55.46785355,S0,16
8553-6103,1-632698,231.5029537,56.82681933,S0,16
8554-3703,1-419345,183.3968944,35.80017552,S0,16
8566-1902,1-338593,113.4172898,41.68527786,S0,16
8568-3701,1-392010,154.6361632,36.26215187,S0,16
8591-3702,1-245088,212.6120868,54.61957409,S0,16
8592-3701,1-246203,220.8531234,52.61452709,S0,16
8595-6104,1-246027,219.3966141,51.58313409,S0,16
8597-1902,1-198125,223.3912441,48.69878971,S0,16
8597-6102,1-246535,225.8073743,48.89887128,S0,16
8600-1901,1-633729,242.5852246,43.00964346,S0,16
8603-12703,1-135133,247.2826464,40.6650475,S0,16
8603-9101,1-135134,247.2256243,40.86661117,S0,16
8604-9101,1-594505,247.3333271,39.42899256,S0,16
8606-6103,1-95657,253.6327729,37.63138859,S0,16
8611-3701,1-25676,261.8412456,59.64380008,S0,16
8611-3702,1-25659,261.4639383,60.1941171,S0,16
8615-6101,1-179929,319.5945647,0.291590354,S0,16
8618-9101,1-596095,318.0865638,11.22023604,S0,16
8624-6103,1-25707,261.9542033,58.69833238,S0,16
8625-3703,1-23927,259.3763072,57.06810325,S0,16
8626-6104,1-24416,263.033161,56.87874753,S0,16
8626-9102,1-634800,263.43932,56.708536,S0,16
8711-9101,1-378881,117.4684414,50.77123161,S0,16
8713-1901,1-43541,116.8477865,39.19593129,S0,16
8718-3701,1-44113,120.2064094,44.69117049,S0,16
8719-1901,1-548191,121.17614,46.733424,S0,16
8719-3704,1-44700,121.4079898,46.7074016,S0,16
