VC_orien,VC_morph,M_halo,Sigma,PLATEIFU,MANGAID,OBJRA,OBJDEC,MNGTARG1,MNGTARG3,Z,NSA_SERSIC_N,STELLAR_VEL_LO,STELLAR_VEL_HI,STELLAR_VEL_LO_CLIP,STELLAR_VEL_HI_CLIP,HA_Z,HA_GVEL_LO,HA_GVEL_HI,HA_GVEL_LO_CLIP,HA_GVEL_HI_CLIP,HA_GSIGMA_1RE,HA_GSIGMA_HI,HA_GSIGMA_HI_CLIP,SFR_1RE,SFR_TOT
4,3,12.4648,0.24103,8143-6104,1-44479,119.82253,42.008537,4096,0,0.0436444,3.64338,-90.475266,72.28435,-89.796005,71.63315,0.043674473,-298.16202,234.2178,-288.75812,234.22018,145.54755,439.8018,186.4377,0.080084994,0.09463273
1,2,12.2916,0.256,8141-12703,1-604937,120.36009,44.193623,1040,0,0.0313725,4.78166,-159.03072,158.61203,-159.03154,158.0099,0.03141012,-225.63216,231.14543,-212.77621,225.12729,57.92992,381.15845,111.27372,0.08496788,0.107272826
3,2,-999.0,0.02477,8610-12702,1-22876,255.81393,60.337776,1040,0,0.0304933,3.00182,-129.73741,193.34958,-129.73741,193.34958,0.030520255,-179.8005,226.94623,-171.18898,226.9072,87.81423,212.73589,125.93179,0.10642511,0.12025495
1,2,11.7473,0.85227,8626-12701,1-24425,263.52527,56.799614,1168,0,0.0292576,3.31544,-162.77559,233.77301,-110.76492,219.7657,0.029368894,-251.94562,434.87793,-232.62558,330.9527,115.842445,498.27753,156.66452,0.018237233,0.023045762
3,2,12.7257,0.35325,12491-6104,1-612698,166.54253,3.3207152,1040,0,0.031147812,6.0,-111.12132,145.78914,-111.12579,145.21344,0.031141529,-223.0984,260.34097,-214.13332,223.97617,138.46405,516.27094,179.23503,0.059465665,0.08091266
1,2,11.6979,0.02146,10512-6102,1-77060,136.37552,3.4730303,1216,0,0.0281608,2.68824,-94.779236,112.71902,-94.44805,111.814735,0.028185267,-124.33083,141.89436,-123.73519,141.90724,66.53699,193.3967,100.85194,0.040965382,0.053368434
1,3,13.0648,0.56816,11742-9101,1-122400,123.19188,39.356537,1040,0,0.06788276,2.9145555,-198.58614,274.74738,-195.68607,264.8089,0.06806128,-359.9204,401.5273,-356.59763,362.28198,227.08095,645.5677,281.68787,0.03560698,0.051082373
1,3,13.8873,1.4774,9026-12701,1-93793,249.07452,44.135715,1040,0,0.03134,2.73932,-174.66891,200.78606,-174.66891,200.78606,0.03154514,-387.52716,421.4959,-365.89508,393.42694,215.92784,743.36786,283.58932,0.035085518,0.039935656
1,2,11.4649,-999.0,8615-3703,1-180028,320.82642,1.25498,4672,0,0.0182092,1.62869,-73.16726,90.851105,-72.85764,90.85272,0.018049348,-92.24058,131.12738,-92.24058,131.12738,55.655872,109.41514,102.485214,0.14911622,0.20611432
1,2,13.003,0.87852,8078-9102,1-36878,42.542126,-0.867116,1040,0,0.0231851,3.97955,-107.067,122.31576,-107.067,122.31576,0.023214838,-147.39586,164.83614,-147.39586,164.83614,59.39106,127.36318,81.671906,0.14765005,0.19262867
